URL,Property Name,Rating,Normal Price,Price after Discount,Number of remaining rooms,District
https://mamikos.com/room/kost-jakarta-timur-kost-putra-eksklusif-kost-apik-green-leaves-home-tipe-a-jatinegara-jakarta-timur-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Green Leaves Home Tipe A Jatinegara Jakarta Timur,4.6,Rp1.700.000,Rp1.445.000,Sisa 1 kamar,Jatinegara
https://mamikos.com/room/kost-kota-jakarta-timur-kost-campur-eksklusif-kost-singgahsini-da-quinta-kelapa-sawit-tipe-a-duren-sawit-jakarta-timur?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Da Quinta Kelapa Sawit Tipe A Duren Sawit Jakarta Timur,4.5,Rp1.500.000,Rp1.200.000,Sisa 1 kamar,Duren Sawit
https://mamikos.com/room/kost-jakarta-barat-kost-campur-murah-kost-apik-binus-anggrek-tipe-b-palmerah-jakarta-barat-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik BINUS Anggrek Tipe B Palmerah Jakarta Barat,4.4,Rp980.000,Rp882.000,0,Palmerah
https://mamikos.com/room/kost-jakarta-barat-kost-campur-eksklusif-kost-singgahsini-w-residence-tipe-a-taman-sari-jakarta-barat-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini W Residence Tipe A Taman Sari Jakarta Barat,4.6,Rp2.000.000,Rp1.700.000,Sisa 1 kamar,Taman Sari
https://mamikos.com/room/kost-kota-jakarta-timur-kost-putra-eksklusif-kost-singgahsini-waru-15a-tipe-b-pasar-rebo-jakarta-timur-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Waru 15A Tipe B Pasar Rebo Jakarta Timur,4.5,Rp1.500.000,Rp1.305.000,Sisa 3 kamar,Pasar Rebo
https://mamikos.com/room/kost-kota-jakarta-utara-kost-campur-eksklusif-kost-apik-theresia-tipe-a-kelapa-gading-jakarta-utara?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Theresia Tipe A Kelapa Gading Jakarta Utara,4.7,Rp1.900.000,Rp1.710.000,Sisa 2 kamar,Kelapa Gading
https://mamikos.com/room/kost-kota-bekasi-kost-putra-eksklusif-kost-singgahsini-delta-timur-102-tipe-a-pekayon-bekasi?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Delta Timur 102 Tipe A Pekayon Bekasi,4.8,Rp1.500.000,Rp1.200.000,Sisa 2 kamar,Bekasi Selatan
https://mamikos.com/room/kost-jakarta-utara-kost-campur-eksklusif-kost-apik-kelapa-sawit-raya-7-tipe-c-kelapa-gading-jakarta-utara-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Kelapa Sawit Raya 7 Tipe C Kelapa Gading Jakarta Utara,4.1,Rp1.210.000,Rp1.089.000,0,Kelapa Gading
https://mamikos.com/room/kost-jakarta-timur-kost-putri-eksklusif-kost-apik-kayu-putih-57a-tipe-b-pulo-gadung-jakarta-timur-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Kayu Putih 57A Tipe B Pulo Gadung Jakarta Timur,4.4,Rp1.820.000,Rp1.456.000,Sisa 1 kamar,Pulo Gadung
https://mamikos.com/room/kost-jakarta-timur-kost-putra-eksklusif-kost-apik-ada-lika-halim-perdana-kusuma-tipe-a-makasar-jakarta-timur-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Ada Lika Halim Perdana Kusuma Tipe A Makasar Jakarta Timur,4.8,Rp1.480.000,Rp1.228.400,Sisa 4 kamar,Makasar
https://mamikos.com/room/kost-jakarta-utara-kost-campur-eksklusif-kost-singgahsini-taska-33-tipe-a-kelapa-gading-jakarta-utara-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Taska 33 Tipe A Kelapa Gading Jakarta Utara,4.7,Rp1.900.000,Rp1.520.000,Sisa 4 kamar,Kecamatan Kelapa Gading
https://mamikos.com/room/kost-jakarta-barat-kost-campur-eksklusif-kost-singgahsini-taman-daan-mogot-28-tipe-a-tanjung-duren-jakarta-barat-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Taman Daan Mogot 28 Tipe A Tanjung Duren Jakarta Barat,4.6,Rp2.200.000,Rp1.870.000,Sisa 4 kamar,Grogol Petamburan
https://mamikos.com/room/kost-kota-bekasi-kost-campur-eksklusif-kost-apik-bunda-tipe-a-rawalumbu-bekasi-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Bunda Tipe A Rawalumbu Bekasi,4.6,Rp1.200.000,Rp1.020.000,0,Rawalumbu
https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-eksklusif-kost-apik-slipi-g1-tipe-a-palmerah-jakarta-barat-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Slipi G1 Tipe A Palmerah Jakarta Barat,4.4,Rp1.730.000,Rp1.505.100,Sisa 2 kamar,Palmerah
https://mamikos.com/room/kost-jakarta-timur-kost-putri-eksklusif-kost-singgahsini-az-zahro-batu-alam-tipe-a-kramatjati-jakarta-timur-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Az Zahro Batu Alam Tipe A Kramatjati Jakarta Timur,4.7,Rp2.050.000,Rp1.640.000,0,Kramat Jati
https://mamikos.com/room/kost-jakarta-barat-kost-putri-eksklusif-kost-apik-binus-syahdan-tipe-c-palmerah-jakarta-barat-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik BINUS Syahdan Tipe C Palmerah Jakarta Barat,4.4,Rp1.400.000,Rp1.218.000,0,Palmerah
